gid,day,opponent,city,state
0,2015_11_13,Siena,Durham,North Carolina
1,2015_11_14,Bryant,Durham,North Carolina
2,2015_11_17,Kentucky,Chicago,Illinois
3,2015_11_20,VCU,New York,New York
4,2015_11_22,Georgetown,New York,New York
5,2015_11_25,Yale,Durham,North Carolina
6,2015_11_29,Utah State,Durham,North Carolina
7,2015_12_02,Indiana,Durham,North Carolina
8,2015_12_05,Buffalo,Durham,North Carolina
9,2015_12_15,Georgia Southern,Durham,North Carolina
10,2015_12_19,Utah,New York,New York
11,2015_12_28,Elon,Durham,North Carolina
12,2015_12_30,Long Beach State,Durham,North Carolina
13,2016_01_06,Wake Forest,Winston-Salem,North Carolina
14,2016_01_09,Virginia Tech,Durham,North Carolina
15,2016_01_16,Notre Dame,Durham,North Carolina
16,2016_01_18,Syracuse,Durham,North Carolina
17,2016_02_06,North Carolina State,Durham,North Carolina
18,2016_02_08,Louisville,Durham,North Carolina
19,2016_02_13,Virginia,Durham,North Carolina
20,2016_02_25,Florida State,Durham,North Carolina
21,2016_03_01,Wake Forest,Durham,North Carolina
22,2016_03_05,North Carolina,Durham,North Carolina
23,2016_03_09,North Carolina State,Washington,District of Columbia
24,2016_03_10,Notre Dame,Washington,District of Columbia
