team|first-name|last-name|season|year|month|date|day|name|city|state|alias|alias2|passes-made|passes-received|breakdown|to-player-id|to-global-player-id|to-player-first-name|to-player-last-name|passes|assists|from-player-id|from-global-player-id|from-player-first-name|from-player-last-name|passes2|assists2
visitors|Abdul-Malik|Abu|2015|2016|3|9|3|Verizon Center|Washington|District of Columbia|NCSU|Duke|32|20|pass-made|120605|740396|Beejay|Anya|1|0|0|0|||0|0
visitors|Abdul-Malik|Abu|2015|2016|3|9|3|Verizon Center|Washington|District of Columbia|NCSU|Duke|32|20|pass-made|120606|740397|Anthony|Barber|21|0|0|0|||0|0
visitors|Abdul-Malik|Abu|2015|2016|3|9|3|Verizon Center|Washington|District of Columbia|NCSU|Duke|32|20|pass-made|126182|842969|Caleb|Martin|3|1|0|0|||0|0
visitors|Abdul-Malik|Abu|2015|2016|3|9|3|Verizon Center|Washington|District of Columbia|NCSU|Duke|32|20|pass-made|126183|842971|Cody|Martin|3|0|0|0|||0|0
visitors|Abdul-Malik|Abu|2015|2016|3|9|3|Verizon Center|Washington|District of Columbia|NCSU|Duke|32|20|pass-made|134001|901051|Shaun|Kirk|1|0|0|0|||0|0
visitors|Abdul-Malik|Abu|2015|2016|3|9|3|Verizon Center|Washington|District of Columbia|NCSU|Duke|32|20|pass-made|134002|901054|Maverick|Rowan|3|0|0|0|||0|0
visitors|Abdul-Malik|Abu|2015|2016|3|9|3|Verizon Center|Washington|District of Columbia|NCSU|Duke|32|20|pass-received|0|0|||0|0|120605|740396|Beejay|Anya|1|0
visitors|Abdul-Malik|Abu|2015|2016|3|9|3|Verizon Center|Washington|District of Columbia|NCSU|Duke|32|20|pass-received|0|0|||0|0|120606|740397|Anthony|Barber|12|3
visitors|Abdul-Malik|Abu|2015|2016|3|9|3|Verizon Center|Washington|District of Columbia|NCSU|Duke|32|20|pass-received|0|0|||0|0|126182|842969|Caleb|Martin|3|1
visitors|Abdul-Malik|Abu|2015|2016|3|9|3|Verizon Center|Washington|District of Columbia|NCSU|Duke|32|20|pass-received|0|0|||0|0|126183|842971|Cody|Martin|3|2
visitors|Abdul-Malik|Abu|2015|2016|3|9|3|Verizon Center|Washington|District of Columbia|NCSU|Duke|32|20|pass-received|0|0|||0|0|134002|901054|Maverick|Rowan|1|0
visitors|Anthony|Barber|2015|2016|3|9|3|Verizon Center|Washington|District of Columbia|NCSU|Duke|67|88|pass-made|126180|842957|Abdul-Malik|Abu|12|3|0|0|||0|0
visitors|Anthony|Barber|2015|2016|3|9|3|Verizon Center|Washington|District of Columbia|NCSU|Duke|67|88|pass-made|126182|842969|Caleb|Martin|18|1|0|0|||0|0
visitors|Anthony|Barber|2015|2016|3|9|3|Verizon Center|Washington|District of Columbia|NCSU|Duke|67|88|pass-made|126183|842971|Cody|Martin|14|0|0|0|||0|0
visitors|Anthony|Barber|2015|2016|3|9|3|Verizon Center|Washington|District of Columbia|NCSU|Duke|67|88|pass-made|134002|901054|Maverick|Rowan|22|3|0|0|||0|0
visitors|Anthony|Barber|2015|2016|3|9|3|Verizon Center|Washington|District of Columbia|NCSU|Duke|67|88|pass-received|0|0|||0|0|120604|740395|Lennard|Freeman|4|1
visitors|Anthony|Barber|2015|2016|3|9|3|Verizon Center|Washington|District of Columbia|NCSU|Duke|67|88|pass-received|0|0|||0|0|120605|740396|Beejay|Anya|3|0
visitors|Anthony|Barber|2015|2016|3|9|3|Verizon Center|Washington|District of Columbia|NCSU|Duke|67|88|pass-received|0|0|||0|0|126180|842957|Abdul-Malik|Abu|21|0
visitors|Anthony|Barber|2015|2016|3|9|3|Verizon Center|Washington|District of Columbia|NCSU|Duke|67|88|pass-received|0|0|||0|0|126182|842969|Caleb|Martin|22|0
visitors|Anthony|Barber|2015|2016|3|9|3|Verizon Center|Washington|District of Columbia|NCSU|Duke|67|88|pass-received|0|0|||0|0|126183|842971|Cody|Martin|23|0
visitors|Anthony|Barber|2015|2016|3|9|3|Verizon Center|Washington|District of Columbia|NCSU|Duke|67|88|pass-received|0|0|||0|0|134001|901051|Shaun|Kirk|5|0
visitors|Anthony|Barber|2015|2016|3|9|3|Verizon Center|Washington|District of Columbia|NCSU|Duke|67|88|pass-received|0|0|||0|0|134002|901054|Maverick|Rowan|10|0
visitors|Caleb|Martin|2015|2016|3|9|3|Verizon Center|Washington|District of Columbia|NCSU|Duke|33|34|pass-made|120605|740396|Beejay|Anya|3|0|0|0|||0|0
visitors|Caleb|Martin|2015|2016|3|9|3|Verizon Center|Washington|District of Columbia|NCSU|Duke|33|34|pass-made|120606|740397|Anthony|Barber|22|0|0|0|||0|0
